year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1997,100,100,100,100,100,99,99,99,99,100,100,100,
1998,0.563,0.797,0.589,0.651,0.639,0.668,0.659,0.645,0.435,0.411,0.382,0.488,0.577
1998,100,100,100,99,99,99,99,99,99,99,99,100,
1999,0.387,0.604,0.264,0.269,0.248,0.325,0.31,0.303,0.276,0.307,0.287,0.314,0.324
1999,100,100,100,100,100,99,99,99,99,99,99,99,
2000,0.181,0.499,0.445,0.538,0.306,0.35,0.326,0.375,0.311,0.195,0.245,0.202,0.331
2000,100,100,100,99,99,99,99,99,99,99,99,100,
2001,0.364,0.392,0.52,0.453,0.489,0.446,0.509,0.507,0.493,0.464,0.692,0.542,0.489
2001,100,100,100,99,99,99,99,99,99,99,99,99,
2002,0.647,0.643,0.799,0.568,0.503,0.449,0.569,0.498,0.502,0.5,0.494,0.347,0.543
2002,100,100,100,100,99,99,99,99,99,99,99,100,
2003,0.654,0.486,0.484,0.473,0.522,0.425,0.484,0.612,0.575,0.657,0.499,0.66,0.544
2003,100,100,100,100,100,99,99,99,99,99,100,100,
2004,0.509,0.635,0.528,0.523,0.351,0.311,0.237,0.458,0.467,0.523,0.651,0.415,0.467
2004,100,100,100,100,99,99,99,99,99,99,99,100,
2005,0.65,0.534,0.646,0.632,0.553,0.569,0.555,0.581,0.634,0.684,0.643,0.601,0.607
2005,100,100,100,100,100,99,99,99,99,99,99,100,
2006,0.5,0.646,0.544,0.486,0.472,0.572,0.476,0.633,0.55,0.614,0.661,0.717,0.573
2006,100,100,100,100,100,99,99,99,99,99,100,100,
2007,0.893,0.64,0.592,0.726,0.58,0.501,0.563,0.584,0.508,0.559,0.536,0.419,0.592
2007,100,100,100,100,100,100,99,99,99,99,100,100,
2008,0.21,0.269,0.614,0.448,0.432,0.384,0.534,0.453,0.548,0.591,0.632,0.472,0.466
2008,100,100,100,100,100,99,99,99,99,99,100,100,
2009,0.59,0.471,0.447,0.528,0.55,0.623,0.681,0.622,0.682,0.62,0.706,0.64,0.597
2009,100,100,100,100,100,99,99,99,99,99,100,100,
2010,0.711,0.79,0.86,0.834,0.715,0.645,0.617,0.615,0.564,0.642,0.735,0.437,0.68
2010,100,100,100,100,100,99,99,99,99,99,100,100,
2011,0.457,0.429,0.556,0.602,0.443,0.548,0.645,0.651,0.538,0.576,0.511,0.495,0.538
2011,100,100,100,100,100,99,99,99,99,100,100,100,
2012,0.37,0.465,0.421,0.61,0.659,0.629,0.568,0.645,0.648,0.732,0.721,0.464,0.578
2012,100,100,100,100,100,99,99,99,99,99,100,100,
2013,0.608,0.527,0.583,0.575,0.557,0.659,0.589,0.635,0.722,0.65,0.77,0.608,0.624
2013,100,100,100,100,99,99,99,99,99,99,100,100,
2014,0.67,0.491,0.695,0.736,0.737,0.617,0.581,0.734,0.757,0.742,0.63,0.685,0.673
2014,100,100,100,100,100,99,99,99,99,99,100,100,
2015,0.74,0.782,0.795,0.701,0.731,0.76,0.715,0.799,0.826,1.015,0.996,1.042,0.825
2015,100,100,100,100,100,99,99,99,99,99,100,100,
2016,1.088,1.224,1.182,1.03,0.88,0.777,0.778,0.949,0.846,0.819,0.844,0.779,0.933
2016,100,100,100,100,100,99,99,99,99,99,100,100,
2017,0.952,1.067,1.065,0.846,0.78,0.658,0.805,0.811,0.729,0.809,0.806,0.815,0.845
2017,100,100,100,100,100,100,99,99,99,99,100,100,
2018,0.711,0.796,0.79,0.822,0.713,0.738,0.733,0.735,0.676,0.869,0.745,0.824,0.763
2018,100,100,100,100,100,100,99,99,99,99,100,100,
