year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1883,-0.473,-0.485,-0.266,-0.439,-0.34,-0.19,-0.219,-0.288,-0.306,-0.34,-0.396,-0.415,-0.346
1883,80,77,80,79,80,78,82,83,85,85,83,83,
1884,-0.444,-0.333,-0.505,-0.509,-0.566,-0.514,-0.566,-0.429,-0.504,-0.463,-0.585,-0.49,-0.492
1884,78,82,79,83,87,86,84,85,84,85,85,83,
1885,-0.656,-0.553,-0.421,-0.635,-0.606,-0.637,-0.42,-0.405,-0.357,-0.362,-0.384,-0.218,-0.471
1885,84,84,86,86,85,83,83,85,86,87,86,87,
1886,-0.48,-0.479,-0.487,-0.362,-0.293,-0.502,-0.302,-0.457,-0.391,-0.413,-0.491,-0.395,-0.421
1886,85,88,88,86,87,88,87,86,86,87,85,87,
1887,-0.744,-0.659,-0.445,-0.483,-0.529,-0.526,-0.389,-0.446,-0.389,-0.445,-0.435,-0.497,-0.499
1887,88,87,86,87,83,84,86,85,86,85,87,83,
1888,-0.618,-0.587,-0.597,-0.352,-0.411,-0.322,-0.339,-0.311,-0.325,-0.166,-0.265,-0.259,-0.379
1888,82,84,87,86,83,84,84,84,81,83,82,80,
1889,-0.297,-0.007,-0.087,-0.087,-0.158,-0.213,-0.281,-0.307,-0.342,-0.37,-0.506,-0.344,-0.25
1889,80,78,82,84,81,77,78,81,82,79,80,83,
1890,-0.534,-0.465,-0.611,-0.494,-0.536,-0.495,-0.489,-0.467,-0.482,-0.439,-0.67,-0.399,-0.507
1890,83,77,76,79,80,79,80,82,79,76,78,77,
1891,-0.58,-0.598,-0.363,-0.448,-0.346,-0.375,-0.4,-0.355,-0.257,-0.343,-0.534,-0.218,-0.401
1891,78,77,77,77,81,80,78,77,77,78,81,78,
1892,-0.465,-0.29,-0.533,-0.546,-0.457,-0.436,-0.587,-0.508,-0.382,-0.434,-0.661,-0.792,-0.508
1892,78,80,81,77,79,80,72,79,79,77,76,77,
1893,-1.045,-0.845,-0.427,-0.515,-0.572,-0.442,-0.244,-0.287,-0.365,-0.304,-0.405,-0.485,-0.495
1893,76,79,78,79,80,75,79,82,83,80,81,76,
1894,-0.628,-0.429,-0.512,-0.537,-0.519,-0.584,-0.392,-0.354,-0.44,-0.399,-0.46,-0.552,-0.484
1894,80,79,77,79,77,79,76,80,80,79,76,77,
1895,-0.636,-0.642,-0.618,-0.461,-0.483,-0.425,-0.335,-0.377,-0.394,-0.326,-0.321,-0.367,-0.449
1895,79,77,74,73,77,76,77,79,79,83,79,79,
1896,-0.315,-0.337,-0.588,-0.546,-0.356,-0.23,-0.182,-0.172,-0.155,-0.118,-0.314,-0.094,-0.284
1896,80,80,78,80,75,80,81,80,78,83,83,79,
1897,-0.3,-0.349,-0.415,-0.118,-0.114,-0.163,-0.187,-0.185,-0.186,-0.212,-0.423,-0.465,-0.26
1897,76,77,78,82,84,82,82,81,86,82,81,81,
1898,-0.199,-0.556,-0.843,-0.663,-0.56,-0.335,-0.395,-0.389,-0.371,-0.501,-0.529,-0.49,-0.486
1898,82,83,81,82,86,86,83,84,82,85,82,85,
1899,-0.36,-0.554,-0.589,-0.439,-0.359,-0.501,-0.366,-0.24,-0.152,-0.183,-0.057,-0.466,-0.355
1899,85,82,82,86,89,84,84,86,88,88,86,87,
1900,-0.507,-0.203,-0.2,-0.224,-0.303,-0.217,-0.191,-0.211,-0.196,-0.065,-0.263,-0.236,-0.234
1900,82,83,81,82,85,80,82,84,84,85,85,86,
